station_id,name,latitude,longitude
USC00080228,ARCADIA,27.2178,-81.8742
USC00080369,AVON PARK 2 W,27.5947,-81.5267
USC00080478,BARTOW 1SE,27.8864,-81.8325
USC00081163,BUSHNELL 1 E,28.6664,-82.0894
USC00081641,CLERMONT 9 S,28.4558,-81.7233
USC00081978,CRESCENT CITY,29.425,-81.5161
USC00082288,DESOTO CITY 8 SW,27.3697,-81.5136
USC00083153,FT GREEN 12 WSW,27.5728,-82.1392
USC00083986,HILLSBOROUGH RVR SP,28.1469,-82.2275
USC00084289,INVERNESS 3 SE,28.8028,-82.3128
USC00085973,MTN LAKE,27.9378,-81.5992
USC00086065,MYAKKA RVR SP,27.24,-82.3153
USC00086414,OCALA,29.1639,-82.0778
USC00087205,PLANT CITY,28.0208,-82.1392
USC00087851,SAINT LEO,28.3381,-82.2603
USC00087886,ST PETERSBURG,27.7683,-82.6256
USC00088824,TARPON SPGS SEWAGE PLT,28.1522,-82.7539
USC00089176,VENICE,27.1006,-82.4364
USC00089401,WAUCHULA,27.5478,-81.7994
USW00012835,FT MYERS PAGE FLD AP,26.585,-81.8614
USW00012842,TAMPA INTL AP,27.9633,-82.54
USW00012883,LAKELAND LINDER RGNL AP,28,-82.05
